service_type,is_mix_service,online_time,1_total_fee,2_total_fee,3_total_fee,4_total_fee,month_traffic,many_over_bill,contract_type,contract_time,is_promise_low_consume,net_service,pay_times,pay_num,last_month_traffic,local_trafffic_month,local_caller_time,service1_caller_time,service2_caller_time,gender,age,complaint_level,former_complaint_num,former_complaint_fee,current_service,user_id,label,have_0_1_total_fee,have_0_2_total_fee,have_0_3_total_fee,have_0_4_total_fee,have_0_month_traffic,have_0_last_month_traffic,have_0_local_trafffic_month,have_0_local_caller_time,have_0_service1_caller_time,have_0_service2_caller_time,have_0_pay_num
1,0,14,105.9,176.7,91.4,162.5,0.0,1,0,0,0,4,2,150.0,0.0,27714.9727,188.8,430.6667,0.0,1,27.0,0,0,0.0,90063345,jzCO0UbDyAhJgeGN,0,1,1,1,1,0,0,1,1,1,0,0
1,0,4,62.6,25.26,26.1,9.15,0.0,1,0,0,0,4,4,60.0,0.0,26432.0939,0.0,0.0,0.8,1,17.0,0,0,0.0,90063345,8qwBzScDaQdP61bL,0,1,1,1,1,0,0,1,0,0,1,0
1,0,17,37.2,43.9,21.0,39.0,0.0,1,0,0,0,4,1,30.0,0.0,2937.6015,0.0,0.0,0.0,1,25.0,0,0,0.0,90063345,NftPFxHg3kdcAm6n,0,1,1,0,0,0,0,1,0,0,0,0
4,0,33,83.0,256.0,308.3,136.08,3467.3118,0,9,12,0,4,1,100.0,0.0,3467.3118,38.1333,72.0667,166.5667,1,28.0,0,0,0.0,89950166,Upeo1Kubwr4qIfJd,1,0,0,1,1,1,0,1,1,1,1,0
4,0,15,106.0,106.3,106.1,106.3,0.1897,0,1,24,0,4,2,130.0,1024.0,0.1897,41.4667,0.0,43.7333,1,28.0,1,2,0.0,89950167,zYgRD9dbxpV3LeuP,2,0,1,1,1,1,0,1,1,0,1,0
1,0,14,77.0,81.2,95.6,93.3,0.0,1,0,0,0,4,7,90.0,0.0,5933.5703,0.0,0.0,0.0,1,17.0,0,0,0.0,90155946,aoDhrCek3zlqYU2E,8,0,1,1,1,0,0,1,0,0,0,0
4,0,34,206.66,333.02,241.0,316.3,2563.4142,1,1,24,0,4,2,200.02,0.0,2563.5263,68.35,0.0,68.6667,1,33.0,0,0,0.0,99999826,pdQCvySzG8FYNsKj,7,1,1,0,1,1,0,1,1,0,1,1
1,0,12,53.4,43.3,38.3,55.8,0.0,1,0,0,0,4,1,50.0,0.0,6987.3362,67.9,78.0333,0.0,2,46.0,0,0,0.0,90063345,YkuoePJW8wl9BCtO,0,1,1,1,1,0,0,1,1,1,0,0
1,0,5,21.06,1.32,13.75,25.95,0.6021,1,0,0,0,4,2,40.0,0.0,0.0,0.0,0.0,0.0,1,21.0,0,0,0.0,90063345,nHUfABi6I8GuCjzd,0,1,1,1,1,1,0,0,0,0,0,0
1,0,14,53.0,97.5,79.8,86.1,0.0,1,0,0,0,4,1,50.0,0.0,0.0,0.0,59.4667,72.05,1,22.0,0,0,0.0,90063345,YBgsmXA37TQH9jaV,0,0,1,1,1,0,0,0,0,1,1,0
1,0,14,34.1,35.6,40.8,46.2,0.0,1,0,0,0,4,2,105.0,0.0,4199.5502,0.0,0.0,0.0,1,40.0,0,0,0.0,90063345,L1zRBc6aNK7E9Qp2,0,1,1,1,1,0,0,1,0,0,0,0
1,0,10,100.6,109.6,101.0,121.5,0.0,1,0,0,0,4,3,90.0,0.0,24988.1151,164.9,0.0,217.6,1,21.0,0,0,0.0,90155946,wFvsp1roYmDGPWXL,8,1,1,0,1,0,0,1,1,0,1,0
4,0,27,84.7,94.15,121.6,95.5,725.4232,0,0,0,1,4,1,200.0,800.0,211.0808,46.75,46.9667,168.1833,1,21.0,0,0,0.0,89950166,zVgyluCdD71Wph0i,1,1,1,1,1,1,0,1,1,1,1,0
1,0,12,50.2,46.2,77.5,54.9,500.0,1,0,0,0,4,1,50.0,0.0,22116.1739,1.2333,1.4,0.0,1,19.0,0,0,0.0,90063345,tXUNAhLZF7e3DJp0,0,1,1,1,1,0,0,1,1,1,0,0
4,0,15,136.06,171.34,115.91,136.2,1919.3272,1,9,12,0,4,4,70.04,0.0,178.6956,28.95,119.0,160.9333,1,21.0,1,3,10756.0,89950166,ZzA5gvqL4ydP3Qfl,1,1,1,1,1,1,0,1,1,0,1,1
4,0,86,113.83,106.2,106.0,106.0,2133.1696,0,1,24,0,4,1,100.0,812.1858,2078.0635,163.4833,0.0,228.65,1,49.0,0,0,0.0,89950167,Af2UrciPJZjNCvyR,2,1,1,0,0,1,1,1,1,0,1,0
4,0,10,106.0,106.0,106.0,123.55,0.0,0,3,12,0,2,4,210.0,1024.0,0.0,115.2333,0.0,159.9,1,39.0,0,0,0.0,89950167,caq9gEIFDzVAHSUQ,2,0,0,0,1,0,0,0,1,0,1,0
1,0,4,44.3,42.9,37.1,16.39,0.0,1,0,0,0,4,2,40.0,0.0,6011.5699,0.0,0.0,0.0,1,18.0,0,0,0.0,90063345,S7tm3kX9wuOMNjp2,0,1,1,1,1,0,0,1,0,0,0,0
1,0,10,30.5,34.5,38.0,50.6,0.0,1,0,0,0,4,3,60.0,0.0,0.0,0.0,12.8333,0.0,1,21.0,0,0,0.0,90063345,HAd16Xj9VhJMevlZ,0,1,1,0,1,0,0,0,0,1,0,0
4,0,113,85.38,78.24,92.18,78.65,544.1049,0,1,24,0,3,4,180.05,0.0,195.7511,17.5333,0.0,120.1667,1,43.0,0,0,0.0,89950166,tWo4QDXZYA97C0Bs,1,1,1,1,1,1,0,1,1,0,1,1
4,0,54,171.5,144.55,280.55,228.2,2011.021,1,1,36,1,4,3,200.0,0.0,26850.6529,41.05,0.0,166.5167,2,29.0,0,0,0.0,99999830,0srJCfKHdpG7XF4D,9,1,1,1,1,1,0,1,1,0,1,0
1,0,4,41.8,36.0,5.0,0.0,1444.5777,0,0,0,0,4,1,30.0,2048.0,871.3372,1.45,24.9167,74.1667,1,31.0,0,0,0.0,90109916,zEXyr74tqCBQjZlb,4,1,0,0,0,1,0,1,1,1,1,0
1,0,15,0.0,39.6,45.0,36.0,2816.0233,0,0,0,0,4,1,79.0,0.0,3593.045,16.2667,0.0,16.2667,1,32.0,1,1,0.0,90109916,iTcHMbl7nWqLFvS6,4,0,1,0,0,1,0,1,1,0,1,0
1,0,7,44.4,45.8,44.5,48.7,0.0,1,0,0,0,4,1,50.0,0.0,1791.7284,0.0,0.0,0.0,2,31.0,0,0,0.0,90063345,FoUr7mMx2ZOiQknj,0,1,1,1,1,0,0,1,0,0,0,0
4,0,90,106.0,106.0,106.0,105.93,1700.7441,0,0,0,0,4,1,106.0,796.9481,1700.739,83.9333,0.0,100.5833,1,56.0,0,0,0.0,89950167,b5Wz74QGD0mkldaO,2,0,0,0,1,1,1,1,1,0,1,0
4,0,61,76.0,76.0,76.0,76.06,0.0,0,9,12,0,4,1,50.0,532.855,0.0,83.15,0.0,88.0167,1,26.0,0,0,0.0,89950166,jpUnxYVSKw7dC6tg,1,0,0,0,1,0,1,0,1,0,1,0
4,0,91,214.06,187.87,165.98,317.71,2237.5306,0,1,24,0,4,4,201.87,91.9054,1199.1179,150.7167,261.6667,422.7167,1,44.0,0,0,0.0,99999827,bkeG8uTcpitCVOD1,6,1,1,1,1,1,1,1,1,1,1,1
4,0,46,76.0,76.0,166.0,86.0,869.3064,0,9,12,0,4,4,350.0,0.0,869.3074,9.55,0.0,20.4333,1,27.0,0,0,0.0,89950166,5JCod2aRrVKhDnIA,1,0,0,0,0,1,0,1,1,0,1,0
1,0,10,38.6,29.8,30.2,50.4,0.0,1,0,0,0,4,3,50.0,0.0,10831.3174,2.6833,0.0,17.7833,1,29.0,0,0,0.0,90063345,yNPH6WRbMEzk8Q1K,0,1,1,1,1,0,0,1,1,0,1,0
4,0,57,201.0,201.0,201.0,201.0,2529.8686,0,0,0,0,3,3,250.0,3072.0,2455.0837,56.75,0.0,178.7667,1,39.0,0,0,0.0,99999826,lJyTzWK6jxYtv07S,7,0,0,0,0,1,0,1,1,0,1,0
4,0,134,78.94,79.1,80.6,59.0,1093.4822,0,9,12,0,4,1,0.06,0.0,1096.8372,26.4333,0.0,52.8,2,70.0,1,1,5000.0,89950166,yCv1LSY76VajpAuG,1,1,1,1,0,1,0,1,1,0,1,1
4,0,25,76.0,76.0,76.0,76.0,0.2053,0,9,12,0,2,2,80.0,800.0,0.0,0.0,0.0,95.2667,1,46.0,0,0,0.0,89950166,BQsXjfWJbHknM7zZ,1,0,0,0,0,1,0,0,0,0,1,0
4,0,134,46.0,46.0,46.0,46.3,378.7615,0,12,36,0,3,1,26.0,400.0,30.4742,26.6667,0.0,92.25,1,59.0,1,1,1000.0,99999830,Om1YHiM9Z6qWgasL,9,0,0,0,1,1,0,1,1,0,1,0
1,0,8,52.0,53.7,56.8,56.8,0.0,1,0,0,0,4,1,30.0,0.0,15555.8382,21.9167,0.0,24.75,1,25.0,0,0,0.0,90063345,jga4RPif65SqTmXu,0,0,1,1,1,0,0,1,1,0,1,0
4,0,22,76.0,0.0,0.0,71.0,0.0,0,0,0,0,2,1,50.0,0.0,0.0,0.0,0.0,0.0,2,22.0,0,0,0.0,89950166,52f9FiyRulqSYscE,1,0,0,0,0,0,0,0,0,0,0,0
4,0,55,117.8,117.8,118.0,117.9,2108.855,0,0,0,0,4,3,300.0,3072.0,1640.0682,2.7667,0.0,110.8,1,31.0,0,0,0.0,89950167,ua7NtpAmJGiLo8zf,2,1,1,0,1,1,0,1,1,0,1,0
4,0,71,281.5,787.96,363.48,316.0,3143.0526,1,0,0,0,4,2,300.06,0.0,0.0,0.0,2.8167,177.45,2,31.0,0,0,0.0,99999828,DR8Pgn1WMN9yuQJ0,3,1,1,1,0,1,0,0,0,1,1,1
1,0,9,45.1,40.7,32.4,21.7,0.0,1,0,0,0,4,3,60.0,0.0,6920.7833,0.0,0.0,0.0,2,34.0,0,0,0.0,90063345,V7qb1ZTLtXuUcmsr,0,1,1,1,1,0,0,1,0,0,0,0
1,0,5,58.7,107.9,17.99,25.2,0.0,1,0,0,0,4,1,15.0,0.0,0.0,0.0,42.1333,0.0,1,25.0,0,0,0.0,90063345,MIsjv98DYWtQCXZa,0,1,1,1,1,0,0,0,0,1,0,0
4,0,114,207.6,329.5,265.1,205.0,4021.9138,1,1,24,0,4,4,600.0,0.0,0.0,0.0,0.0,67.7333,1,31.0,0,0,0.0,99999826,BdoYMRIOCeiyLK7S,7,1,1,1,0,1,0,0,0,0,1,0
1,0,8,43.4,46.1,35.7,57.9,0.0,1,0,0,0,4,1,50.0,0.0,5825.1634,12.75,12.75,0.0,1,20.0,0,0,0.0,90063345,4MXhSbrCZgoutTeD,0,1,1,1,1,0,0,1,1,1,0,0
4,0,10,35.96,36.0,36.0,36.0,0.5401,0,3,12,0,2,1,0.04,500.0,0.5401,0.6167,0.0,0.6167,2,35.0,0,0,0.0,89950168,8lRneBXVwOHMfiIh,5,1,0,0,0,1,0,1,1,0,1,1
4,0,36,81.23,81.0,86.5,81.0,0.0296,0,0,0,0,2,1,0.07,400.0,0.0,0.0,0.0,17.3333,1,42.0,0,0,0.0,99999830,DuLMnNWjGXRdEhOp,9,1,0,1,0,1,0,0,0,0,1,1
4,0,9,76.0,33.0,50.0,50.0,1.1439,0,0,0,0,3,2,61.0,800.0,1.1439,8.3,0.0,8.3,1,51.0,0,0,0.0,89950166,E3qlK8BCrI2X1VfJ,1,0,0,0,0,1,0,1,1,0,1,0
1,0,7,47.9,46.5,42.3,31.49,0.0,1,0,0,0,4,2,120.0,0.0,2237.6562,32.5167,33.2833,0.0,2,34.0,0,0,0.0,90063345,L5Ct6hzFelcZOajD,0,1,1,1,1,0,0,1,1,1,0,0
1,0,7,74.4,50.5,46.8,33.3,0.0,1,0,0,0,4,3,90.0,0.0,40703.6829,3.85,58.3167,0.0,2,30.0,0,0,0.0,90063345,KxaCznPrVgystO3m,0,1,1,1,1,0,0,1,1,1,0,0
4,0,32,165.95,259.05,225.99,245.76,2819.4939,0,9,12,0,4,1,0.05,0.0,0.0,0.0,0.0,742.5167,2,31.0,0,0,0.0,99999827,DN0EuAfe3igH5sVd,6,1,1,1,1,1,0,0,0,0,1,1
4,0,78,194.9,232.6,171.9,250.75,2222.8874,0,1,36,0,4,1,0.05,2957.7503,398.1843,7.8333,143.7167,422.65,1,31.0,0,0,0.0,99999827,zIbsXnPjhgeTwy5D,6,1,1,1,1,1,1,1,1,1,1,1
4,0,84,126.55,126.2,126.05,130.65,3380.4904,0,3,12,1,4,3,326.2,2048.0,3403.6769,186.4667,15.65,170.8167,1,32.0,0,0,0.0,89950166,GQ2Kw5cV9yYADvds,1,1,1,1,1,1,0,1,1,1,1,1
4,0,50,196.0,316.2,376.0,316.0,2199.4913,1,0,0,0,4,4,600.0,0.0,2089.1699,7.7833,0.0,64.6,2,31.0,0,0,0.0,99999830,TywQvJUNenhX2MuW,9,0,1,0,0,1,0,1,1,0,1,0
4,0,133,106.0,106.0,106.0,106.1,1418.6467,0,3,12,0,4,2,200.0,450.323,1425.1681,38.95,0.0,45.6333,1,39.0,0,0,0.0,89950167,fAn1T2KzMcBZYjL5,2,0,0,0,1,1,1,1,1,0,1,0
4,1,62,136.0,136.0,136.0,136.1,623.5376,0,1,24,0,4,1,100.0,1024.0,623.7278,100.1,0.0,100.1,1,45.0,0,0,0.0,99999828,rZQGlvqUAOMVBTES,3,0,0,0,1,1,0,1,1,0,1,0
4,0,48,99.5,86.0,86.1,206.0,3299.0031,0,9,12,0,4,1,50.0,800.0,3299.0458,14.5833,86.5667,178.15,1,42.0,0,0,0.0,89950166,yQB1uqRNKLY4OEag,1,1,0,1,0,1,0,1,1,1,1,0
4,0,134,109.4,114.25,106.1,106.15,0.0,0,1,24,0,4,2,100.05,0.0,586.5764,99.45,12.1167,137.75,1,44.0,0,0,0.0,89950167,8paQVdBrnPRLw3oK,2,1,1,1,1,0,0,1,1,1,1,1
1,0,11,36.8,40.4,36.6,45.0,0.0,1,0,0,0,4,1,30.0,0.0,2037.2683,0.0,0.0,0.0,1,42.0,0,0,0.0,90063345,IcASt4EPGTWRZel8,0,1,1,1,0,0,0,1,0,0,0,0
1,0,11,45.4,50.3,47.0,47.2,0.0,1,0,0,0,4,2,60.0,0.0,18825.0632,0.0,0.0,0.0,2,18.0,0,0,0.0,90063345,D01EeiK9bHRVdJxl,0,1,1,0,1,0,0,1,0,0,0,0
4,0,73,166.0,212.2,166.0,192.5,2552.0697,0,6,12,0,4,3,200.0,613.0482,2184.6598,133.7,0.0,291.6333,1,40.0,0,0,0.0,99999827,OexzlEYJtRvPncky,6,0,1,0,1,1,1,1,1,0,1,0
1,0,8,69.1,77.3,48.7,38.5,500.0,1,0,0,0,4,2,60.0,0.0,1099.3157,0.0,41.6333,0.0,1,23.0,0,0,0.0,90063345,ztUXThpkVKcvOBdR,0,1,1,1,1,0,0,1,0,1,0,0
1,0,9,67.0,80.0,39.2,47.4,0.0,1,0,0,0,4,1,50.0,0.0,9568.6117,75.9333,112.9333,0.0,1,23.0,0,0,0.0,90063345,yDwzt2J9pfnW8TNq,0,0,0,1,1,0,0,1,1,1,0,0
4,0,66,122.05,210.66,107.29,141.75,811.7369,0,9,12,0,4,1,100.0,0.0,811.8649,205.1,180.0,277.9167,1,33.0,1,1,0.0,89950166,a6xGNPp8JVULKtjI,1,1,1,1,1,1,0,1,1,0,1,0
1,0,8,72.9,124.6,80.3,143.4,0.0,1,0,0,0,4,1,50.0,0.0,316.3167,0.0,198.6167,1.65,1,31.0,0,0,0.0,90063345,hJjorkKLzA3tTqb6,0,1,1,1,1,0,0,1,0,1,1,0
4,0,79,144.98,98.5,265.0,89.5,683.4401,1,0,0,0,4,1,0.02,0.0,552.8816,2.3667,0.0,12.5,2,36.0,0,0,0.0,99999830,Nd1DoThOXcyfZn9q,9,1,1,0,1,1,0,1,1,0,1,1
4,0,175,409.35,325.95,326.1,370.8,3099.3692,0,1,24,0,4,1,300.0,4096.0,2009.5363,567.9,476.5333,809.6167,1,38.0,0,0,0.0,99999825,szR4oG3LN0upHEVX,10,1,1,1,1,1,0,1,1,1,1,0
1,0,12,60.0,80.6,70.3,77.0,0.0,1,0,0,0,4,1,50.0,0.0,1857.6622,0.0,0.0,0.0,1,28.0,0,0,0.0,90155946,brEXCVoYqiluIg0L,8,0,1,1,0,0,0,1,0,0,0,0
1,0,12,84.8,73.0,130.0,73.6,0.0,1,0,0,0,4,2,100.0,0.0,75701.7754,1.15,0.0,3.2833,1,30.0,0,0,0.0,90063345,8OskrbyCV7AEKp3I,0,1,0,0,1,0,0,1,1,0,1,0
4,0,16,102.0,142.0,92.0,92.0,1639.3481,0,3,12,0,4,1,100.0,0.0,1340.17,39.35,0.0,63.9667,1,47.0,0,0,0.0,89950166,NhcUBwKfSp9O6znE,1,0,0,0,0,1,0,1,1,0,1,0
4,0,37,96.0,106.0,196.1,131.25,855.1557,0,9,12,0,4,3,110.0,0.0,0.0,0.0,0.0,158.5667,2,41.0,0,0,0.0,89950166,dZMW16qaJPfSI53V,1,0,0,1,1,1,0,0,0,0,1,0
4,0,101,205.14,225.46,205.5,229.31,2739.0706,0,1,24,0,4,1,0.06,5120.0,2397.09,76.6333,0.0,262.75,1,31.0,2,1,0.0,99999828,sW8QRfaTrAXZdojp,3,1,1,1,1,1,0,1,1,0,1,1
1,0,15,50.8,55.0,38.3,51.6,0.0,1,0,0,0,4,4,70.0,0.0,15076.7097,1.2,24.7833,0.0,1,20.0,0,0,0.0,90063345,HT8Sj3qlwMZgkRsJ,0,1,0,1,1,0,0,1,1,1,0,0
1,0,10,51.0,56.7,52.7,60.3,0.0,1,0,0,0,4,1,50.0,0.0,37369.5056,0.5167,0.0,32.2,1,25.0,0,0,0.0,90063345,gx7cSDsvINXq1bl4,0,0,1,1,1,0,0,1,1,0,1,0
1,0,11,36.8,66.1,36.0,37.7,3093.0474,0,0,0,0,4,1,30.0,0.0,1483.3263,14.9333,0.0,68.1,1,24.0,1,1,1500.0,90109916,MoIR9B8q2UWT1jF4,4,1,1,0,1,1,0,1,1,0,1,0
